unitid,year,fips,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,sex,yield
100636,2001,1,NA,NA,NA,NA,0,1,NA
100636,2001,1,NA,NA,NA,NA,0,2,NA
100636,2001,1,NA,NA,0,0,0,99,NA
100654,2001,1,968,799,548,9,557,1,0.825413223140496
100654,2001,1,1212,837,576,9,585,2,0.69059405940594
100654,2001,1,2180,1636,1124,18,1142,99,0.75045871559633
100663,2001,1,1181,1066,459,34,493,1,0.902624894157494
100663,2001,1,1991,1820,765,43,808,2,0.914113510798594
100663,2001,1,3172,2886,1224,77,1301,99,0.90983606557377
100690,2001,1,NA,NA,NA,NA,0,1,NA
100690,2001,1,NA,NA,NA,NA,0,2,NA
100690,2001,1,NA,NA,0,0,0,99,NA
100706,2001,1,589,513,306,17,323,1,0.870967741935484
100706,2001,1,609,491,286,19,305,2,0.80623973727422
100706,2001,1,1198,1004,592,36,628,99,0.838063439065108
100724,2001,1,NA,NA,562,9,571,1,NA
100724,2001,1,NA,NA,700,9,709,2,NA
100724,2001,1,NA,NA,1262,18,1280,99,NA
100733,2001,1,NA,NA,NA,NA,0,1,NA
100733,2001,1,NA,NA,NA,NA,0,2,NA
100733,2001,1,NA,NA,0,0,0,99,NA
100751,2001,1,3435,2683,1055,12,1067,1,0.781077147016012
100751,2001,1,4429,3567,1349,4,1353,2,0.805373673515466
100751,2001,1,7864,6250,2404,16,2420,99,0.794760935910478
100760,2001,1,NA,NA,NA,NA,0,1,NA
100760,2001,1,NA,NA,NA,NA,0,2,NA
100760,2001,1,NA,NA,0,0,0,99,NA
100788,2001,1,NA,NA,NA,NA,0,1,NA
100788,2001,1,NA,NA,NA,NA,0,2,NA
100788,2001,1,NA,NA,0,0,0,99,NA
100797,2001,1,NA,NA,NA,NA,0,1,NA
100797,2001,1,NA,NA,NA,NA,0,2,NA
100797,2001,1,NA,NA,0,0,0,99,NA
100812,2001,1,NA,NA,NA,NA,0,1,NA
100812,2001,1,NA,NA,NA,NA,0,2,NA
100812,2001,1,NA,NA,0,0,0,99,NA
100830,2001,1,NA,NA,176,56,232,1,NA
100830,2001,1,NA,NA,316,65,381,2,NA
100830,2001,1,NA,NA,492,121,613,99,NA
100858,2001,1,6399,4750,1776,22,1798,1,0.742303484919519
100858,2001,1,7246,5612,1929,28,1957,2,0.774496273806238
100858,2001,1,13645,10362,3705,50,3755,99,0.759399047270062
100885,2001,1,NA,NA,NA,NA,0,1,NA
100885,2001,1,NA,NA,NA,NA,0,2,NA
100885,2001,1,NA,NA,0,0,0,99,NA
100900,2001,1,NA,NA,NA,NA,0,1,NA
100900,2001,1,NA,NA,NA,NA,0,2,NA
100900,2001,1,NA,NA,0,0,0,99,NA
100919,2001,1,NA,NA,NA,NA,0,1,NA
100919,2001,1,NA,NA,NA,NA,0,2,NA
100919,2001,1,NA,NA,0,0,0,99,NA
100928,2001,1,NA,NA,NA,NA,0,1,NA
100928,2001,1,NA,NA,NA,NA,0,2,NA
100928,2001,1,NA,NA,0,0,0,99,NA
100937,2001,1,404,364,148,0,148,1,0.900990099009901
100937,2001,1,643,597,240,0,240,2,0.92846034214619
100937,2001,1,1047,961,388,0,388,99,0.917860553963706
100973,2001,1,NA,NA,NA,NA,0,1,NA
100973,2001,1,NA,NA,NA,NA,0,2,NA
100973,2001,1,NA,NA,0,0,0,99,NA
101000,2001,1,NA,NA,NA,NA,0,1,NA
101000,2001,1,NA,NA,NA,NA,0,2,NA
101000,2001,1,NA,NA,0,0,0,99,NA
101019,2001,1,NA,NA,NA,NA,0,1,NA
101019,2001,1,NA,NA,NA,NA,0,2,NA
101019,2001,1,NA,NA,0,0,0,99,NA
101028,2001,1,NA,NA,NA,NA,0,1,NA
101028,2001,1,NA,NA,NA,NA,0,2,NA
101028,2001,1,NA,NA,0,0,0,99,NA
101073,2001,1,NA,NA,NA,NA,0,1,NA
101073,2001,1,NA,NA,NA,NA,0,2,NA
101073,2001,1,NA,NA,0,0,0,99,NA
101107,2001,1,NA,NA,NA,NA,0,1,NA
101107,2001,1,NA,NA,NA,NA,0,2,NA
101107,2001,1,NA,NA,0,0,0,99,NA
101116,2001,1,9,9,8,1,9,1,1
101116,2001,1,27,27,18,9,27,2,1
101116,2001,1,36,36,26,10,36,99,1
101125,2001,1,NA,NA,NA,NA,0,1,NA
101125,2001,1,NA,NA,NA,NA,0,2,NA
101125,2001,1,NA,NA,0,0,0,99,NA
101143,2001,1,NA,NA,NA,NA,0,1,NA
